timestamp,open,high,low,close,volume
2024-02-15 13:00:00,30672,30775,30440,30633,0.8411
2024-02-15 14:00:00,30629,30810,30581,30600,2.0170
2024-02-15 15:00:00,30618,31024,30503,30981,3.3456
2024-02-15 16:00:00,30943,31236,30871,31090,9.7520
2024-02-15 17:00:00,31109,31184,30959,31048,3.1048
2024-02-15 18:00:00,31072,31190,30977,31033,7.5286
2024-02-15 19:00:00,31026,31187,30975,31003,0.4373
2024-02-15 20:00:00,31007,31240,30961,31199,1.2664
2024-02-15 21:00:00,31186,31282,30934,31125,3.6707
2024-02-15 22:00:00,31147,31181,30806,30852,2.8175
2024-02-15 23:00:00,30859,31063,30835,31001,4.5051
2024-02-16 00:00:00,30974,31079,30797,30850,0.6322
2024-02-16 01:00:00,30852,31158,30843,31150,1.7758
2024-02-16 02:00:00,31133,31259,30928,30942,1.5314
2024-02-16 03:00:00,30941,30999,30888,30954,0.4970
2024-02-16 04:00:00,30937,31108,30866,31087,1.8370
2024-02-16 05:00:00,31074,31101,30925,31052,0.8341
2024-02-16 06:00:00,31053,31057,30937,31021,0.2374
2024-02-16 07:00:00,31031,31190,30966,31051,1.5764
2024-02-16 08:00:00,31043,31100,30999,31075,5.8727
2024-02-16 09:00:00,31071,31196,31015,31148,12.9753
2024-02-16 10:00:00,31136,31159,30986,31009,1.5305
2024-02-16 11:00:00,30985,31188,30956,31173,0.4497
2024-02-16 12:00:00,31172,31226,31067,31139,0.4682
2024-02-16 13:00:00,31148,31440,31089,31366,7.9040
2024-02-16 14:00:00,31354,31440,31155,31256,6.1823
2024-02-16 15:00:00,31243,31260,31070,31244,3.8330
2024-02-16 16:00:00,31244,31257,30861,31010,8.4518
2024-02-16 17:00:00,31023,31111,30899,31110,5.1976
2024-02-16 18:00:00,31084,31181,30802,30927,3.7529
2024-02-16 19:00:00,30949,30999,30801,30982,1.5250
2024-02-16 20:00:00,30975,31071,30870,30870,0.7341
2024-02-16 21:00:00,30866,30986,30826,30891,0.6698
2024-02-16 22:00:00,30891,31027,30829,31011,0.6916
2024-02-16 23:00:00,31008,31056,30867,30924,0.7323
2024-02-17 00:00:00,30916,31064,30916,30947,1.7584
2024-02-17 01:00:00,30954,31085,30879,31012,0.9901
2024-02-17 02:00:00,31017,31022,30872,30948,0.6156
2024-02-17 03:00:00,30945,31022,30864,30869,0.2982
2024-02-17 04:00:00,30884,31015,30848,30982,0.4943
2024-02-17 05:00:00,30977,31019,30904,30996,0.4316
2024-02-17 06:00:00,30998,31018,30904,30962,0.7598
2024-02-17 07:00:00,30956,31074,30905,31055,0.2277
2024-02-17 08:00:00,31028,31152,30998,31115,1.0767
2024-02-17 09:00:00,31127,31130,30996,31014,0.6839
2024-02-17 10:00:00,31015,31018,30796,30970,1.5579
2024-02-17 11:00:00,30964,31124,30932,31105,0.7000
2024-02-17 12:00:00,31120,31128,31007,31033,0.4352
2024-02-17 13:00:00,31018,31124,30923,31011,1.3910
2024-02-17 14:00:00,30994,31020,30790,30865,5.6006
2024-02-17 15:00:00,30863,31079,30856,31023,6.1627
2024-02-17 16:00:00,31022,31342,30915,31293,1.9661
2024-02-17 17:00:00,31310,31400,31191,31400,3.3464
2024-02-17 18:00:00,31396,31421,31253,31418,2.2018
2024-02-17 19:00:00,31440,31581,31422,31525,2.7527
2024-02-17 20:00:00,31532,31551,31345,31384,1.0589
2024-02-17 21:00:00,31377,31468,31256,31462,1.4872
2024-02-17 22:00:00,31467,31488,31264,31302,0.6710
2024-02-17 23:00:00,31276,31392,31219,31278,1.8680
2024-02-18 00:00:00,31267,31326,31201,31213,0.6547
2024-02-18 01:00:00,31201,31288,31126,31133,1.3423
2024-02-18 02:00:00,31134,31204,30968,31041,2.9641
2024-02-18 03:00:00,31037,31175,31029,31084,0.9502
2024-02-18 04:00:00,31117,31400,31110,31344,0.2127
2024-02-18 05:00:00,31342,31448,31282,31431,0.3467
2024-02-18 06:00:00,31434,31486,31323,31435,5.4756
2024-02-18 07:00:00,31439,31473,31259,31284,0.8550
2024-02-18 08:00:00,31263,31443,31263,31308,0.3350
2024-02-18 09:00:00,31308,31348,31130,31197,1.3770
2024-02-18 10:00:00,31200,31369,31179,31288,0.4926
2024-02-18 11:00:00,31289,31336,31126,31138,1.3364
2024-02-18 12:00:00,31144,31158,31000,31053,2.2147
2024-02-18 13:00:00,31043,31098,30967,30967,0.6453
2024-02-18 14:00:00,30945,31075,30903,30990,0.9641
2024-02-18 15:00:00,31000,31185,30950,31149,0.3743
2024-02-18 16:00:00,31158,31309,31138,31233,2.5677
2024-02-18 17:00:00,31228,31228,31056,31176,0.5910
2024-02-18 18:00:00,31171,31389,31168,31276,1.0478
2024-02-18 19:00:00,31276,31505,31190,31471,1.0526
2024-02-18 20:00:00,31496,31504,31298,31382,1.3223
2024-02-18 21:00:00,31367,31474,31301,31382,1.4892
2024-02-18 22:00:00,31382,31607,31299,31569,0.4045
2024-02-18 23:00:00,31566,31923,31539,31797,5.8456
2024-02-19 00:00:00,31816,31930,31688,31767,2.0680
